"","sample","time","OTU54","OTU295","OTU865","OTU42","OTU31","OTU317","OTU24","OTU190","OTU1094","OTU18","OTU357","OTU57","OTU790","OTU979","OTU30","OTU138","OTU850","OTU72","OTU435","OTU211","OTU738","OTU142","OTU256","OTU458","OTU236","OTU315","OTU354","OTU736","OTU1073","OTU128","OTU1242","OTU53","OTU322","OTU785","OTU302","OTU25","OTU721","OTU129","OTU374","OTU914","OTU861","OTU516","OTU281","OTU1243","OTU508","OTU1002","OTU1026","OTU703","OTU527","OTU1111","OTU1075","OTU690","OTU807","OTU64","OTU1117","OTU744","OTU46","OTU32","OTU655","OTU537","OTU159","OTU729","OTU149","OTU384","OTU382","OTU875","OTU38","OTU1028","OTU777","OTU59","OTU695","OTU309","OTU766","OTU521","OTU398","OTU488","OTU373","OTU932","OTU245","OTU418","OTU1","OTU234","OTU745","OTU708","OTU871","OTU395","OTU730","OTU1088","OTU68","OTU85","OTU764","OTU381","OTU80","OTU76","OTU830","OTU1101","OTU33","OTU523","OTU1015","OTU48","OTU1225","OTU706","OTU825","OTU184","OTU50","OTU19","OTU1041","OTU827","OTU751","OTU420","OTU495","OTU525","OTU772","OTU771","OTU487","OTU1014","OTU204","OTU449","OTU446","OTU630","OTU1235","OTU718","OTU1069","OTU870","OTU288","OTU444","OTU84","OTU821","OTU396","OTU75","OTU329","OTU346","OTU978","OTU714","OTU590","OTU108","OTU868","OTU45","OTU325","OTU415","OTU1234","OTU765","OTU720","OTU945","OTU51","OTU1105","OTU734","OTU270","OTU136","OTU705","OTU36","OTU463","OTU750","OTU728","OTU379","OTU731","OTU833","OTU78","OTU228","OTU616","OTU404","OTU803","OTU801","OTU112","OTU246","OTU47","OTU401","OTU724","OTU878","OTU1184","OTU691","OTU1110","OTU836","OTU1078","OTU529","OTU343","OTU1113","OTU798","OTU1232","OTU260","OTU65","OTU41","OTU710","OTU1074","OTU146","OTU21","OTU333","OTU685","OTU4","OTU709","OTU352","OTU873","OTU908","OTU788","OTU297","OTU1077","OTU815","OTU532","OTU6","OTU450","OTU524","OTU125","OTU1021","OTU63","OTU1229","OTU390","OTU610","OTU1100","OTU67","OTU319","OTU274","OTU802","OTU752","OTU837","OTU225","OTU505","OTU436","OTU437","OTU864","OTU717","OTU862","OTU533","OTU389","OTU689","OTU789","OTU156","OTU832","OTU753","OTU209","OTU740","OTU711","OTU79","OTU1239","OTU202","OTU383","OTU743","OTU86","OTU704","OTU732","OTU1237","OTU956","OTU5","OTU1139","OTU692","OTU1135","OTU723","OTU151","OTU522","OTU768","OTU770","OTU1192","OTU338","OTU1207","OTU3","OTU867","OTU885","OTU819","OTU55","OTU122","OTU447","OTU716","OTU1233","OTU698","OTU34","OTU1082","OTU534","OTU769","OTU387","OTU89","OTU889","OTU767","OTU905","OTU263","OTU261","OTU1018","OTU426","OTU29","OTU786","OTU82","OTU386","OTU376","OTU943","OTU179","OTU7","OTU312","OTU481","OTU737","OTU20","OTU320","OTU774","OTU626","OTU434","OTU605","OTU456","OTU863","OTU893","OTU70","OTU1236","OTU1090","OTU952","OTU69","OTU37","OTU999","OTU872","OTU810","OTU496","OTU1104","OTU707","OTU1001","OTU1031","OTU795","OTU466","OTU866","OTU427","OTU279","OTU469","OTU792","OTU49","OTU712","OTU1093","OTU460","OTU272","OTU874","OTU375","OTU345","OTU869","OTU797","OTU509"
"48","B0610","NEC2-late pre-onset",0,0,8,0,5,51,0,1,0,7,42,25,0,5,4902,2,4,0,0,10,1,19,7,0,0,3,0,356,2,126,0,0,15,2,2,9,0,0,0,0,38,0,3,2,0,0,253,0,0,4,0,0,0,0,0,5,368,0,0,0,0,275,3,8,0,0,3,29,14,0,14,2,0,0,2,0,0,2,1,0,0,838,2,0,0,4,414,14,0,63,0,0,1,0,9,5,0,0,0,47,0,0,11,2,0,3,36,0,0,0,1,39,0,7,0,0,0,0,0,3,1,13,1236,56,28,5,49,7,48,0,22,8,1,189,6,145,5,0,1601,0,0,0,5,0,67,36,185,0,0,0,6,0,18,437,0,491,2,18,13,13,8,24,0,5,5,5,3881,11,11,21,0,3,35,1,0,2,34,13,9,0,0,0,2,0,7,6,6,0,0,0,38,5,2,0,2,0,1,7,0,1,6,109,13,0,0,4,1,2,0,26,23,37,652,14,26,0,0,0,0,0,137,31,0,0,52,0,9,0,4,0,0,0,0,23,1,915,462,0,20,0,0,1,0,1,0,0,8,0,0,0,3,32,0,0,37,276,0,0,301,1,25,0,6,298,1,0,4,1,3907,358,0,1,0,57,10,0,1162,0,25,4,0,0,0,0,0,0,9,4,23,167,0,1,1,5,0,7,0,11,8,4,0,27,673,5,215,0,0,0,260,0,213,0,0,224,5,0,10,0,0,7,0,0,2,0,28,0,14,0
"49","B0614","NEC2-late pre-onset",0,0,0,0,0,1,0,0,0,0,0,1,0,0,78,0,0,0,0,0,0,4,0,0,0,0,0,12,0,5,0,0,0,0,2,27226,0,0,0,0,0,0,0,0,18,0,9,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,24,3,1,0,0,0,3,0,2,1,0,1,0,3,0,0,21,0,0,0,0,0,5,0,4,0,0,0,0,9,6,10,0,9,0,0,0,0,0,1,0,0,0,1,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,17,0,8,0,2,0,0,8,0,0,8,0,59,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,40,1,0,0,10,0,165,0,0,0,0,0,1,0,0,0,3,13,0,3,0,3,0,3,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","B0619","NEC2-early disease",0,0,0,0,0,2,0,0,0,0,0,0,0,1,88,0,0,0,0,0,1,1,0,0,0,0,0,4,1,2,0,0,1,0,0,27257,0,0,0,0,2,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,1,4,0,1,0,0,2,0,1,0,0,24,0,0,0,0,0,1,0,5,0,0,0,0,6,0,11,0,8,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,2,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,15,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,2,0,1,0,0,15,0,0,0,0,65,9,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,44,1,0,0,6,0,148,0,0,0,0,0,0,0,0,0,3,16,0,4,0,1,0,5,0,5,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"51","B0620","NEC2-middle disease",0,0,0,0,0,1.333333,0,0,0,0,0,0,0,0.6666667,70.66667,0,0,0,0,0,0.6666667,0.6666667,0,0,0,0,0,3,0.6666667,1.333333,0,0,0.6666667,0,0,27336,0,0,0,0,1.666667,0,0,0,16.66667,0,5.333333,0,0,0,0,0,0,3,0,0,7.666667,0,0,0,0.6666667,1,0.3333333,0,0,0,0,1.666667,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,9,0,0,0,0,2.666667,0,0,1.333333,0,0,0,0,0.3333333,0.6666667,0,0,0,0.3333333,0,0,0,0,0,0,1.333333,0,0,11.33333,0,1,0,0,0,0,0,0,0,0,0.6666667,0,16,0,0,0,1,0.6666667,8,0,0.6666667,0,0,1.333333,0,1.333333,0,0,19,0,0,0,0,0,1,0,3.666667,0,0,0,0,6.666667,0,9,0,6.333333,0.6666667,0,0,0.6666667,0,0.3333333,0,0,0,0,68.66667,0.6666667,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0.3333333,0,0.6666667,0,0,0,0,0,0,0,0,0,0.6666667,12.33333,0,1.666667,0,0,0,0,0,0.6666667,2,0,0,1.333333,0,0.6666667,0,0,0,0,0,0,0.6666667,0,12.66667,8.333333,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,5.333333,6.666667,0,1.666667,0,0.6666667,0,0,10.33333,0,0,0,0,54,6.333333,0,0,0,0,0.6666667,0,2.666667,0,0,0,0,0,0,0,0,44,0.6666667,0.3333333,0,4,0,148.6667,0,0,0,0,0,0,0,0,0,2,13,0,3,0,1.333333,0,5,0,4,0,0,4,0.6666667,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0
"52","B0622","NEC2-late disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27494,0,0,0,0,1,0,0,0,12,0,2,0,0,0,0,0,0,9,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,16,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,8,0,5,0,3,2,0,0,0,0,1,0,0,0,0,46,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,0,1,0,0,0,0,32,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,44,0,1,0,0,0,150,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","B0701","control8-early post partum",4,0,2,3,29,98,0,2,5,3,0,94,0,19,8789,2,0,5,0,16,2,0,16,0,0,16,0,0,17,259,0,1,70,0,0,2,0,1,10,4,6,0,6,0,0,0,1077,0,7,0,5,0,0,0,8,0,659,9,3,0,2,267,36,141,0,1,7,252,19,34,0,2,0,1,3,0,8,14,3,0,58,72,1,2,0,0,0,53,0,60,0,7,2,2,2,2,7,0,0,19,0,0,0,2,0,0,218,3,6,0,3,166,2,5,0,38,4,0,0,1,68,4,1678,126,87,1,184,17,3,5,1,5,6,73,5,2,0,1,1282,0,0,0,0,0,4,92,9,6,0,0,27,0,70,0,3,0,1,108,95,65,0,5,3,3,0,7,9,19,8,8,0,1,0,4,0,1,71,1,0,7,0,2,3,0,0,25,37,0,2,0,0,0,10,0,6,8,1,2,0,25,6,320,184,36,1,3,0,0,0,56,147,139,10,0,51,0,0,0,0,0,16,326,0,0,54,0,5,0,4,0,0,13,4,0,1,4,2062,0,2,4,0,6,0,0,3,0,0,0,0,0,0,4,0,19,39,327,0,5,48,3,7,2,4,1638,2,0,0,64,0,755,0,0,0,245,6,0,281,4,75,33,5,0,5,1,5,0,0,16,0,0,0,0,0,2,0,1,0,1,14,5,0,579,600,28,161,0,0,17,949,0,803,0,0,668,8,0,17,0,0,0,0,0,3,8,0,1,9,0
"54","B0706","control8-early pre-onset",3,0,1,3,30,178,3,7,12,9,0,81,0,16,9163,3,1,6,0,41,1,0,29,0,0,14,0,0,10,219,0,3,66,1,0,0,1,0,6,3,3,0,1,1,0,2,985,0,8,0,3,0,0,0,4,0,722,8,2,0,2,316,27,149,3,0,14,229,18,31,0,5,0,0,6,0,4,4,2,0,34,62,1,3,0,0,0,41,0,50,0,7,12,4,2,0,7,0,8,8,0,0,0,5,0,0,164,0,9,0,1,209,7,6,0,19,8,0,0,0,64,0,912,92,173,0,230,12,1,0,4,3,1,52,4,1,0,2,1383,0,0,0,0,1,7,113,0,1,0,0,11,0,31,0,8,0,0,123,86,11,0,12,10,0,1,2,8,12,10,1,0,0,0,2,0,0,95,0,1,11,0,4,0,0,0,23,35,0,0,0,0,0,13,0,6,13,3,3,0,18,13,291,269,58,1,2,0,0,0,54,134,153,12,0,17,0,0,0,0,0,14,253,0,0,60,0,0,0,1,0,0,22,0,1,2,5,2295,0,1,1,0,11,3,1,20,0,0,0,0,0,0,1,0,20,56,253,0,5,40,5,5,2,3,2046,3,0,0,140,1,729,0,0,0,142,4,0,209,3,70,51,2,0,6,3,2,0,0,11,0,0,0,0,0,1,0,0,0,0,18,2,0,597,521,22,205,0,0,11,826,0,917,0,0,608,5,0,11,0,1,0,0,0,0,2,0,0,6,0
"55","B0714","control8-late pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,16,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,1,0,0,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","B0721","control8-early disease",0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,0,0,0,0,0,1381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,293,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1305,0,1,0,6312,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"58","B0801","control15-early post partum",3,0,0,7,37,105,5,11,12,4,0,81,0,22,9536,3,0,1,0,33,0,0,9,0,2,18,0,0,9,180,0,5,87,0,0,0,0,1,7,5,6,0,0,1,0,1,1153,0,4,0,4,0,0,0,9,0,695,10,1,0,0,301,26,156,2,0,6,152,18,39,0,5,0,0,3,0,4,47,3,0,50,53,2,3,0,0,0,27,0,62,0,9,3,6,2,0,15,0,0,15,0,0,0,0,0,0,195,2,4,0,0,165,2,2,0,9,3,0,0,0,83,2,887,93,169,0,208,15,2,6,1,2,1,62,2,1,0,3,1262,0,0,0,0,0,4,70,4,1,0,0,13,0,139,1,1,12,0,135,84,7,0,7,4,4,0,6,10,13,10,3,0,1,0,5,1,2,62,0,0,11,0,7,0,0,0,51,25,0,1,0,0,0,10,0,3,6,0,0,0,13,12,278,153,48,1,1,0,0,0,72,112,119,12,0,14,0,0,0,0,0,48,407,0,0,161,0,0,1,2,0,0,15,0,0,2,8,2075,0,0,0,0,14,5,2,13,1,0,0,0,0,0,0,0,31,15,271,0,4,31,4,0,1,1,1831,5,0,0,64,2,552,0,1,0,206,5,0,428,4,72,34,2,0,1,3,0,0,0,11,0,0,0,0,0,1,0,0,0,1,8,0,0,623,611,38,235,0,0,12,829,0,794,0,0,677,8,0,9,0,0,0,0,0,0,4,0,1,5,0
"59","B0809","control15-early pre-onset",0,0,2,0,3,31,2,1,4,2,0,21,0,2,2503,0,0,0,0,2,0,0,4,0,1,2,0,0,2,42,0,0,23,0,0,5097,0,0,6,0,1,0,1,0,1,0,313,0,2,0,0,0,0,0,0,1,205,1,1,0,1,96,8,39,2,11,1,38,4,19,0,1,0,0,1,0,1,0,0,0,6,20,0,2,0,0,0,4,0,18,0,1,3,0,3,0,1,0,0,3,0,3,0,0,0,56,56,3,3,0,0,50,3,1,0,6,2,0,0,3,21,5,291,30,21,0,74,4,0,4,1,0,0,17,2,0,0,2,361,0,0,0,0,0,11,25,1,0,0,0,14,1,11,0,0,0,0,32,27,12,0,3,2,2,0,4,1,3,1,13,0,0,0,1,0,1,23,0,0,6,0,2,0,0,0,9,11,1,0,0,0,0,4,0,1,0,0,1,0,6,2,82,57,10,0,0,0,0,0,12,34,38,3,0,3,0,0,0,0,0,1070,56,0,0,10,0,0,0,1,0,0,1,1,0,0,4,638,0,1,0,0,4,0,2,1,0,0,0,0,2,10,1,0,17,9,74,8,0,9,0,0,0,0,491,1,0,0,24,1,205,0,0,0,64,0,0,14069,2,26,17,1,0,0,0,1,4,0,39,0,0,0,13,3,1,0,1,0,0,4,0,0,165,174,9,59,0,1,2,232,1,217,0,0,168,3,0,7,0,0,0,0,0,3,5,0,12,2,0
"60","B0815","control15-late pre-onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,25739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","B0817","control15-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,24820,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","B0818","control15-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","B0821","control15-early disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13619,0,3,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,1379,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,12641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"65","B1401","LOS1-early post partum",1,0,3,0,3,20,0,0,0,0,0,20,0,7,3944,1,0,0,0,16,71,17,0,0,0,6,0,267,2,125,0,0,20,8,2,622,0,4,0,0,114,0,2,2,0,0,264,0,1,0,0,0,1,0,0,3,233,5,1,0,2,195,1,9,0,0,2,23,12,1,3,4,0,1,3,0,0,1,1,0,0,709,1,0,2,3,298,16,0,77,0,0,0,0,2,2,0,0,1,39,0,0,0,0,0,70,47,2,4,1,2,15,2,2,0,1,0,0,0,2,3,0,1034,48,22,14,27,7,0,0,5,1,1,153,6,102,1,0,1264,0,0,0,12,0,6,25,185,0,0,0,2,0,8,381,0,335,3,6,4,4,0,13,1,9,4,9,3160,1103,6,11,0,0,0,1,1,0,24,7,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,2,3,0,4,2,65,10,7,0,2,3,0,0,17,14,15,474,0,16,0,0,0,0,0,786,40,0,0,412,0,0,2,5,2,0,0,0,10,0,745,372,0,4,0,1,0,0,75,1,7,0,0,0,0,3,19,0,0,15,207,0,1,289,0,10,0,5,231,0,0,0,0,2951,334,0,3,0,46,7,0,3975,0,27,7,1,0,0,0,1,0,7,0,0,60,1,0,1,2,0,4,0,47,1,3,0,51,507,6,155,0,1,6,215,5,108,0,0,196,5,0,1,0,0,7,0,0,4,3,0,2,13,0
"66","B1403","LOS1-early post partum",2,0,3,0,3,12,0,2,1,0,1,28,0,5,6079,7,0,0,0,19,5,26,0,0,1,4,0,292,2,135,0,0,37,2,1,11,0,0,0,1,42,0,4,0,0,0,316,0,1,0,2,0,4,1,0,0,214,1,0,0,2,288,4,6,0,2,5,52,18,0,13,2,0,6,5,0,0,1,2,0,0,1038,8,0,1,10,415,18,0,68,0,6,0,0,8,3,3,0,0,16,0,0,0,0,0,3,44,0,0,0,0,17,2,1,0,10,0,0,0,0,7,2,1732,36,32,2,21,16,13,0,5,4,0,229,5,36,2,0,1811,0,1,0,12,0,2,24,238,2,0,0,1,0,11,361,0,254,2,7,6,9,3,11,0,10,3,9,3400,12,8,15,0,0,0,9,2,3,53,6,5,0,0,0,1,0,4,7,5,0,0,0,0,0,3,0,1,0,0,8,0,4,4,88,9,5,0,0,1,0,0,5,26,16,839,6,31,0,0,0,0,0,21,77,0,0,60,0,2,2,2,0,5,0,6,28,0,1043,356,0,9,0,0,1,0,1,0,3,0,0,0,1,3,23,0,0,6,229,1,0,438,1,2,0,1,170,0,0,8,0,3722,348,0,0,0,55,3,0,265,0,35,13,1,0,0,0,0,0,14,0,11,453,0,0,0,1,0,6,0,78,0,5,0,86,762,3,163,0,0,1,293,3,149,0,0,141,9,0,13,0,0,9,0,0,0,0,0,0,17,0
